Date,Start (ET),away_team,home_team
"Sun, Nov 3, 2019",6:00p,Houston Rockets,Miami Heat
"Sun, Nov 3, 2019",6:00p,Sacramento Kings,New York Knicks
"Sun, Nov 3, 2019",7:00p,Los Angeles Lakers,San Antonio Spurs
"Sun, Nov 3, 2019",7:30p,Dallas Mavericks,Cleveland Cavaliers
"Sun, Nov 3, 2019",9:00p,Utah Jazz,Los Angeles Clippers
"Mon, Nov 4, 2019",7:00p,Detroit Pistons,Washington Wizards
"Mon, Nov 4, 2019",7:30p,New Orleans Pelicans,Brooklyn Nets
"Mon, Nov 4, 2019",8:00p,Houston Rockets,Memphis Grizzlies
"Mon, Nov 4, 2019",8:00p,Milwaukee Bucks,Minnesota Timberwolves
"Mon, Nov 4, 2019",9:00p,Philadelphia 76ers,Phoenix Suns
"Mon, Nov 4, 2019",10:30p,Portland Trail Blazers,Golden State Warriors
"Tue, Nov 5, 2019",7:00p,Indiana Pacers,Charlotte Hornets
"Tue, Nov 5, 2019",7:00p,Boston Celtics,Cleveland Cavaliers
"Tue, Nov 5, 2019",7:30p,San Antonio Spurs,Atlanta Hawks
"Tue, Nov 5, 2019",8:00p,Los Angeles Lakers,Chicago Bulls
"Tue, Nov 5, 2019",8:00p,Orlando Magic,Oklahoma City Thunder
"Tue, Nov 5, 2019",9:00p,Miami Heat,Denver Nuggets
"Wed, Nov 6, 2019",7:00p,New York Knicks,Detroit Pistons
"Wed, Nov 6, 2019",7:00p,Washington Wizards,Indiana Pacers
"Wed, Nov 6, 2019",7:30p,Chicago Bulls,Atlanta Hawks
"Wed, Nov 6, 2019",7:30p,Golden State Warriors,Houston Rockets
"Wed, Nov 6, 2019",7:30p,Sacramento Kings,Toronto Raptors
"Wed, Nov 6, 2019",8:00p,Minnesota Timberwolves,Memphis Grizzlies
"Wed, Nov 6, 2019",8:30p,Orlando Magic,Dallas Mavericks
"Wed, Nov 6, 2019",9:00p,Philadelphia 76ers,Utah Jazz
"Wed, Nov 6, 2019",10:00p,Milwaukee Bucks,Los Angeles Clippers
"Thu, Nov 7, 2019",8:00p,Boston Celtics,Charlotte Hornets
"Thu, Nov 7, 2019",8:30p,Oklahoma City Thunder,San Antonio Spurs
"Thu, Nov 7, 2019",9:00p,Miami Heat,Phoenix Suns
"Thu, Nov 7, 2019",10:30p,Portland Trail Blazers,Los Angeles Clippers
"Fri, Nov 8, 2019",7:00p,Detroit Pistons,Indiana Pacers
"Fri, Nov 8, 2019",7:00p,Memphis Grizzlies,Orlando Magic
"Fri, Nov 8, 2019",7:00p,Cleveland Cavaliers,Washington Wizards
"Fri, Nov 8, 2019",7:30p,Sacramento Kings,Atlanta Hawks
"Fri, Nov 8, 2019",8:00p,Golden State Warriors,Minnesota Timberwolves
"Fri, Nov 8, 2019",8:00p,Toronto Raptors,New Orleans Pelicans
"Fri, Nov 8, 2019",8:30p,New York Knicks,Dallas Mavericks
"Fri, Nov 8, 2019",9:00p,Philadelphia 76ers,Denver Nuggets
"Fri, Nov 8, 2019",9:00p,Milwaukee Bucks,Utah Jazz
"Fri, Nov 8, 2019",10:00p,Brooklyn Nets,Portland Trail Blazers
"Fri, Nov 8, 2019",10:30p,Miami Heat,Los Angeles Lakers
"Sat, Nov 9, 2019",5:00p,Boston Celtics,San Antonio Spurs
"Sat, Nov 9, 2019",7:00p,New Orleans Pelicans,Charlotte Hornets
"Sat, Nov 9, 2019",8:00p,Houston Rockets,Chicago Bulls
"Sat, Nov 9, 2019",8:00p,Dallas Mavericks,Memphis Grizzlies
"Sat, Nov 9, 2019",8:00p,Golden State Warriors,Oklahoma City Thunder
"Sun, Nov 10, 2019",3:30p,Denver Nuggets,Minnesota Timberwolves
"Sun, Nov 10, 2019",6:00p,Indiana Pacers,Orlando Magic
"Sun, Nov 10, 2019",6:00p,Charlotte Hornets,Philadelphia 76ers
"Sun, Nov 10, 2019",7:00p,Milwaukee Bucks,Oklahoma City Thunder
"Sun, Nov 10, 2019",7:30p,Cleveland Cavaliers,New York Knicks
"Sun, Nov 10, 2019",8:00p,Brooklyn Nets,Phoenix Suns
"Sun, Nov 10, 2019",9:00p,Atlanta Hawks,Portland Trail Blazers
"Sun, Nov 10, 2019",9:30p,Toronto Raptors,Los Angeles Lakers
"Mon, Nov 11, 2019",7:00p,Minnesota Timberwolves,Detroit Pistons
"Mon, Nov 11, 2019",7:30p,Dallas Mavericks,Boston Celtics
"Mon, Nov 11, 2019",8:00p,Houston Rockets,New Orleans Pelicans
"Mon, Nov 11, 2019",8:30p,Memphis Grizzlies,San Antonio Spurs
"Mon, Nov 11, 2019",10:30p,Utah Jazz,Golden State Warriors
"Mon, Nov 11, 2019",10:30p,Toronto Raptors,Los Angeles Clippers
"Tue, Nov 12, 2019",7:00p,Oklahoma City Thunder,Indiana Pacers
"Tue, Nov 12, 2019",7:00p,Cleveland Cavaliers,Philadelphia 76ers
"Tue, Nov 12, 2019",7:30p,Detroit Pistons,Miami Heat
"Tue, Nov 12, 2019",8:00p,New York Knicks,Chicago Bulls
"Tue, Nov 12, 2019",9:00p,Atlanta Hawks,Denver Nuggets
"Tue, Nov 12, 2019",9:00p,Los Angeles Lakers,Phoenix Suns
"Tue, Nov 12, 2019",9:00p,Brooklyn Nets,Utah Jazz
"Tue, Nov 12, 2019",10:00p,Portland Trail Blazers,Sacramento Kings
"Wed, Nov 13, 2019",7:00p,Memphis Grizzlies,Charlotte Hornets
"Wed, Nov 13, 2019",7:00p,Philadelphia 76ers,Orlando Magic
"Wed, Nov 13, 2019",7:30p,Washington Wizards,Boston Celtics
"Wed, Nov 13, 2019",7:30p,Los Angeles Clippers,Houston Rockets
"Wed, Nov 13, 2019",8:00p,San Antonio Spurs,Minnesota Timberwolves
"Wed, Nov 13, 2019",10:00p,Golden State Warriors,Los Angeles Lakers
"Wed, Nov 13, 2019",10:00p,Toronto Raptors,Portland Trail Blazers
"Thu, Nov 14, 2019",6:00p,Miami Heat,Cleveland Cavaliers
"Thu, Nov 14, 2019",8:00p,Chicago Bulls,Milwaukee Bucks
"Thu, Nov 14, 2019",8:00p,Los Angeles Clippers,New Orleans Pelicans
"Thu, Nov 14, 2019",8:00p,Dallas Mavericks,New York Knicks
"Thu, Nov 14, 2019",9:00p,Atlanta Hawks,Phoenix Suns
"Thu, Nov 14, 2019",10:30p,Brooklyn Nets,Denver Nuggets
"Fri, Nov 15, 2019",7:00p,Detroit Pistons,Charlotte Hornets
"Fri, Nov 15, 2019",7:00p,San Antonio Spurs,Orlando Magic
"Fri, Nov 15, 2019",8:00p,Indiana Pacers,Houston Rockets
"Fri, Nov 15, 2019",8:00p,Utah Jazz,Memphis Grizzlies
"Fri, Nov 15, 2019",8:00p,Washington Wizards,Minnesota Timberwolves
"Fri, Nov 15, 2019",8:00p,Philadelphia 76ers,Oklahoma City Thunder
"Fri, Nov 15, 2019",10:30p,Boston Celtics,Golden State Warriors
"Fri, Nov 15, 2019",10:30p,Sacramento Kings,Los Angeles Lakers
"Sat, Nov 16, 2019",6:00p,Brooklyn Nets,Chicago Bulls
"Sat, Nov 16, 2019",7:00p,Milwaukee Bucks,Indiana Pacers
"Sat, Nov 16, 2019",7:30p,Charlotte Hornets,New York Knicks
"Sat, Nov 16, 2019",8:00p,New Orleans Pelicans,Miami Heat
"Sat, Nov 16, 2019",8:00p,Houston Rockets,Minnesota Timberwolves
"Sat, Nov 16, 2019",8:30p,Toronto Raptors,Dallas Mavericks
"Sat, Nov 16, 2019",8:30p,Portland Trail Blazers,San Antonio Spurs
"Sat, Nov 16, 2019",10:30p,Atlanta Hawks,Los Angeles Clippers
"Sun, Nov 17, 2019",3:00p,Philadelphia 76ers,Cleveland Cavaliers
"Sun, Nov 17, 2019",3:30p,Boston Celtics,Sacramento Kings
"Sun, Nov 17, 2019",6:00p,Denver Nuggets,Memphis Grizzlies
"Sun, Nov 17, 2019",6:00p,Washington Wizards,Orlando Magic
"Sun, Nov 17, 2019",7:00p,Golden State Warriors,New Orleans Pelicans
"Sun, Nov 17, 2019",9:30p,Atlanta Hawks,Los Angeles Lakers
"Mon, Nov 18, 2019",7:00p,Cleveland Cavaliers,New York Knicks
"Mon, Nov 18, 2019",7:30p,Indiana Pacers,Brooklyn Nets
"Mon, Nov 18, 2019",7:30p,Charlotte Hornets,Toronto Raptors
"Mon, Nov 18, 2019",8:00p,Milwaukee Bucks,Chicago Bulls
"Mon, Nov 18, 2019",8:00p,Portland Trail Blazers,Houston Rockets
"Mon, Nov 18, 2019",8:30p,San Antonio Spurs,Dallas Mavericks
"Mon, Nov 18, 2019",9:00p,Boston Celtics,Phoenix Suns
"Mon, Nov 18, 2019",9:00p,Minnesota Timberwolves,Utah Jazz
"Mon, Nov 18, 2019",10:30p,Oklahoma City Thunder,Los Angeles Clippers
"Tue, Nov 19, 2019",8:00p,Golden State Warriors,Memphis Grizzlies
"Tue, Nov 19, 2019",8:00p,Portland Trail Blazers,New Orleans Pelicans
"Tue, Nov 19, 2019",10:00p,Phoenix Suns,Sacramento Kings
"Tue, Nov 19, 2019",10:30p,Oklahoma City Thunder,Los Angeles Lakers
"Wed, Nov 20, 2019",7:00p,New York Knicks,Philadelphia 76ers
"Wed, Nov 20, 2019",7:00p,San Antonio Spurs,Washington Wizards
"Wed, Nov 20, 2019",7:30p,Milwaukee Bucks,Atlanta Hawks
"Wed, Nov 20, 2019",7:30p,Charlotte Hornets,Brooklyn Nets
"Wed, Nov 20, 2019",7:30p,Golden State Warriors,Dallas Mavericks
"Wed, Nov 20, 2019",7:30p,Cleveland Cavaliers,Miami Heat
"Wed, Nov 20, 2019",7:30p,Orlando Magic,Toronto Raptors
"Wed, Nov 20, 2019",8:00p,Detroit Pistons,Chicago Bulls
"Wed, Nov 20, 2019",8:00p,Utah Jazz,Minnesota Timberwolves
"Wed, Nov 20, 2019",9:00p,Houston Rockets,Denver Nuggets
"Wed, Nov 20, 2019",10:00p,Boston Celtics,Los Angeles Clippers
"Thu, Nov 21, 2019",8:00p,Portland Trail Blazers,Milwaukee Bucks
"Thu, Nov 21, 2019",10:30p,New Orleans Pelicans,Phoenix Suns
"Fri, Nov 22, 2019",7:00p,Atlanta Hawks,Detroit Pistons
"Fri, Nov 22, 2019",7:00p,Charlotte Hornets,Washington Wizards
"Fri, Nov 22, 2019",7:30p,Sacramento Kings,Brooklyn Nets
"Fri, Nov 22, 2019",8:00p,Miami Heat,Chicago Bulls
"Fri, Nov 22, 2019",8:00p,Los Angeles Lakers,Oklahoma City Thunder
"Fri, Nov 22, 2019",8:00p,San Antonio Spurs,Philadelphia 76ers
"Fri, Nov 22, 2019",8:30p,Cleveland Cavaliers,Dallas Mavericks
"Fri, Nov 22, 2019",9:00p,Boston Celtics,Denver Nuggets
"Fri, Nov 22, 2019",9:00p,Golden State Warriors,Utah Jazz
"Fri, Nov 22, 2019",10:30p,Houston Rockets,Los Angeles Clippers
"Sat, Nov 23, 2019",5:00p,Phoenix Suns,Minnesota Timberwolves
"Sat, Nov 23, 2019",7:00p,Chicago Bulls,Charlotte Hornets
"Sat, Nov 23, 2019",7:00p,Orlando Magic,Indiana Pacers
"Sat, Nov 23, 2019",7:30p,Toronto Raptors,Atlanta Hawks
"Sat, Nov 23, 2019",7:30p,San Antonio Spurs,New York Knicks
"Sat, Nov 23, 2019",7:30p,Miami Heat,Philadelphia 76ers
"Sat, Nov 23, 2019",8:00p,Portland Trail Blazers,Cleveland Cavaliers
"Sat, Nov 23, 2019",8:00p,Los Angeles Lakers,Memphis Grizzlies
"Sat, Nov 23, 2019",8:30p,Detroit Pistons,Milwaukee Bucks
"Sat, Nov 23, 2019",9:00p,New Orleans Pelicans,Utah Jazz
"Sun, Nov 24, 2019",3:30p,Dallas Mavericks,Houston Rockets
"Sun, Nov 24, 2019",6:00p,Brooklyn Nets,New York Knicks
"Sun, Nov 24, 2019",6:00p,Sacramento Kings,Washington Wizards
"Sun, Nov 24, 2019",8:00p,Phoenix Suns,Denver Nuggets
"Sun, Nov 24, 2019",9:00p,New Orleans Pelicans,Los Angeles Clippers
"Mon, Nov 25, 2019",7:00p,Brooklyn Nets,Cleveland Cavaliers
"Mon, Nov 25, 2019",7:00p,Orlando Magic,Detroit Pistons
"Mon, Nov 25, 2019",7:00p,Memphis Grizzlies,Indiana Pacers
"Mon, Nov 25, 2019",7:30p,Minnesota Timberwolves,Atlanta Hawks
"Mon, Nov 25, 2019",7:30p,Sacramento Kings,Boston Celtics
"Mon, Nov 25, 2019",7:30p,Charlotte Hornets,Miami Heat
"Mon, Nov 25, 2019",7:30p,Philadelphia 76ers,Toronto Raptors
"Mon, Nov 25, 2019",8:00p,Portland Trail Blazers,Chicago Bulls
"Mon, Nov 25, 2019",8:00p,Utah Jazz,Milwaukee Bucks
"Mon, Nov 25, 2019",8:30p,Los Angeles Lakers,San Antonio Spurs
"Mon, Nov 25, 2019",10:30p,Oklahoma City Thunder,Golden State Warriors
"Tue, Nov 26, 2019",8:30p,Los Angeles Clippers,Dallas Mavericks
"Tue, Nov 26, 2019",9:00p,Washington Wizards,Denver Nuggets
"Wed, Nov 27, 2019",7:00p,Brooklyn Nets,Boston Celtics
"Wed, Nov 27, 2019",7:00p,Detroit Pistons,Charlotte Hornets
"Wed, Nov 27, 2019",7:00p,Orlando Magic,Cleveland Cavaliers
"Wed, Nov 27, 2019",7:00p,Utah Jazz,Indiana Pacers
"Wed, Nov 27, 2019",7:00p,Sacramento Kings,Philadelphia 76ers
"Wed, Nov 27, 2019",7:30p,New York Knicks,Toronto Raptors
"Wed, Nov 27, 2019",8:00p,Miami Heat,Houston Rockets
"Wed, Nov 27, 2019",8:00p,Los Angeles Clippers,Memphis Grizzlies
"Wed, Nov 27, 2019",8:00p,Atlanta Hawks,Milwaukee Bucks
"Wed, Nov 27, 2019",8:30p,Minnesota Timberwolves,San Antonio Spurs
"Wed, Nov 27, 2019",9:00p,Washington Wizards,Phoenix Suns
"Wed, Nov 27, 2019",9:30p,Los Angeles Lakers,New Orleans Pelicans
"Wed, Nov 27, 2019",10:00p,Oklahoma City Thunder,Portland Trail Blazers
"Wed, Nov 27, 2019",10:30p,Chicago Bulls,Golden State Warriors
"Fri, Nov 29, 2019",12:00p,Boston Celtics,Brooklyn Nets
"Fri, Nov 29, 2019",7:00p,Charlotte Hornets,Detroit Pistons
"Fri, Nov 29, 2019",7:00p,Toronto Raptors,Orlando Magic
"Fri, Nov 29, 2019",7:30p,Milwaukee Bucks,Cleveland Cavaliers
"Fri, Nov 29, 2019",7:30p,Philadelphia 76ers,New York Knicks
"Fri, Nov 29, 2019",8:00p,Atlanta Hawks,Indiana Pacers
"Fri, Nov 29, 2019",8:00p,Utah Jazz,Memphis Grizzlies
"Fri, Nov 29, 2019",8:00p,Golden State Warriors,Miami Heat
"Fri, Nov 29, 2019",8:00p,New Orleans Pelicans,Oklahoma City Thunder
"Fri, Nov 29, 2019",8:30p,Los Angeles Clippers,San Antonio Spurs
"Fri, Nov 29, 2019",9:00p,Dallas Mavericks,Phoenix Suns
"Fri, Nov 29, 2019",10:00p,Chicago Bulls,Portland Trail Blazers
"Fri, Nov 29, 2019",10:30p,Washington Wizards,Los Angeles Lakers
"Sat, Nov 30, 2019",5:00p,Denver Nuggets,Sacramento Kings
"Sat, Nov 30, 2019",7:00p,Indiana Pacers,Philadelphia 76ers
"Sat, Nov 30, 2019",8:00p,Atlanta Hawks,Houston Rockets
"Sat, Nov 30, 2019",8:00p,Charlotte Hornets,Milwaukee Bucks
"Sun, Dec 1, 2019",3:00p,Miami Heat,Brooklyn Nets
"Sun, Dec 1, 2019",3:30p,Memphis Grizzlies,Minnesota Timberwolves
"Sun, Dec 1, 2019",3:30p,Boston Celtics,New York Knicks
"Sun, Dec 1, 2019",4:00p,Dallas Mavericks,Los Angeles Lakers
"Sun, Dec 1, 2019",5:00p,San Antonio Spurs,Detroit Pistons
"Sun, Dec 1, 2019",5:00p,Oklahoma City Thunder,New Orleans Pelicans
"Sun, Dec 1, 2019",6:00p,Golden State Warriors,Orlando Magic
"Sun, Dec 1, 2019",6:00p,Utah Jazz,Toronto Raptors
"Sun, Dec 1, 2019",10:30p,Washington Wizards,Los Angeles Clippers
"Mon, Dec 2, 2019",7:00p,Phoenix Suns,Charlotte Hornets
"Mon, Dec 2, 2019",7:00p,Utah Jazz,Philadelphia 76ers
"Mon, Dec 2, 2019",7:30p,Golden State Warriors,Atlanta Hawks
"Mon, Dec 2, 2019",8:00p,Indiana Pacers,Memphis Grizzlies
"Mon, Dec 2, 2019",8:00p,New York Knicks,Milwaukee Bucks
"Mon, Dec 2, 2019",10:00p,Chicago Bulls,Sacramento Kings
"Tue, Dec 3, 2019",7:00p,Detroit Pistons,Cleveland Cavaliers
"Tue, Dec 3, 2019",7:00p,Orlando Magic,Washington Wizards
"Tue, Dec 3, 2019",7:30p,Dallas Mavericks,New Orleans Pelicans
"Tue, Dec 3, 2019",7:30p,Miami Heat,Toronto Raptors
"Tue, Dec 3, 2019",8:30p,Houston Rockets,San Antonio Spurs
"Tue, Dec 3, 2019",9:00p,Los Angeles Lakers,Denver Nuggets
"Tue, Dec 3, 2019",10:00p,Portland Trail Blazers,Los Angeles Clippers
"Wed, Dec 4, 2019",7:00p,Golden State Warriors,Charlotte Hornets
"Wed, Dec 4, 2019",7:00p,Milwaukee Bucks,Detroit Pistons
"Wed, Dec 4, 2019",7:00p,Phoenix Suns,Orlando Magic
"Wed, Dec 4, 2019",7:30p,Brooklyn Nets,Atlanta Hawks
"Wed, Dec 4, 2019",7:30p,Miami Heat,Boston Celtics
"Wed, Dec 4, 2019",8:00p,Memphis Grizzlies,Chicago Bulls
"Wed, Dec 4, 2019",8:00p,Indiana Pacers,Oklahoma City Thunder
"Wed, Dec 4, 2019",8:30p,Minnesota Timberwolves,Dallas Mavericks
"Wed, Dec 4, 2019",9:00p,Los Angeles Lakers,Utah Jazz
"Wed, Dec 4, 2019",10:00p,Sacramento Kings,Portland Trail Blazers
"Thu, Dec 5, 2019",7:00p,Philadelphia 76ers,Washington Wizards
"Thu, Dec 5, 2019",7:30p,Denver Nuggets,New York Knicks
"Thu, Dec 5, 2019",7:30p,Houston Rockets,Toronto Raptors
"Thu, Dec 5, 2019",8:00p,Phoenix Suns,New Orleans Pelicans
"Fri, Dec 6, 2019",7:00p,Brooklyn Nets,Charlotte Hornets
"Fri, Dec 6, 2019",7:00p,Orlando Magic,Cleveland Cavaliers
"Fri, Dec 6, 2019",7:00p,Indiana Pacers,Detroit Pistons
"Fri, Dec 6, 2019",8:00p,Denver Nuggets,Boston Celtics
"Fri, Dec 6, 2019",8:00p,Golden State Warriors,Chicago Bulls
"Fri, Dec 6, 2019",8:00p,Washington Wizards,Miami Heat
"Fri, Dec 6, 2019",8:00p,Minnesota Timberwolves,Oklahoma City Thunder
"Fri, Dec 6, 2019",8:30p,Los Angeles Clippers,Milwaukee Bucks
"Fri, Dec 6, 2019",8:30p,Sacramento Kings,San Antonio Spurs
"Fri, Dec 6, 2019",10:30p,Los Angeles Lakers,Portland Trail Blazers
"Sat, Dec 7, 2019",2:00p,New Orleans Pelicans,Dallas Mavericks
"Sat, Dec 7, 2019",7:30p,Indiana Pacers,New York Knicks
"Sat, Dec 7, 2019",7:30p,Cleveland Cavaliers,Philadelphia 76ers
"Sat, Dec 7, 2019",8:00p,Phoenix Suns,Houston Rockets
"Sat, Dec 7, 2019",10:00p,Memphis Grizzlies,Utah Jazz
"Sun, Dec 8, 2019",3:00p,Denver Nuggets,Brooklyn Nets
"Sun, Dec 8, 2019",5:00p,Atlanta Hawks,Charlotte Hornets
"Sun, Dec 8, 2019",6:00p,Chicago Bulls,Miami Heat
"Sun, Dec 8, 2019",6:00p,Toronto Raptors,Philadelphia 76ers
"Sun, Dec 8, 2019",6:00p,Los Angeles Clippers,Washington Wizards
"Sun, Dec 8, 2019",7:00p,Sacramento Kings,Dallas Mavericks
"Sun, Dec 8, 2019",9:00p,Oklahoma City Thunder,Portland Trail Blazers
"Sun, Dec 8, 2019",9:30p,Minnesota Timberwolves,Los Angeles Lakers
"Mon, Dec 9, 2019",7:00p,Los Angeles Clippers,Indiana Pacers
"Mon, Dec 9, 2019",7:30p,Cleveland Cavaliers,Boston Celtics
"Mon, Dec 9, 2019",8:00p,Toronto Raptors,Chicago Bulls
"Mon, Dec 9, 2019",8:00p,Sacramento Kings,Houston Rockets
"Mon, Dec 9, 2019",8:00p,Orlando Magic,Milwaukee Bucks
"Mon, Dec 9, 2019",8:00p,Detroit Pistons,New Orleans Pelicans
"Mon, Dec 9, 2019",9:00p,Minnesota Timberwolves,Phoenix Suns
"Mon, Dec 9, 2019",9:00p,Oklahoma City Thunder,Utah Jazz
"Mon, Dec 9, 2019",10:30p,Memphis Grizzlies,Golden State Warriors
"Tue, Dec 10, 2019",7:00p,Washington Wizards,Charlotte Hornets
"Tue, Dec 10, 2019",7:00p,Denver Nuggets,Philadelphia 76ers
"Tue, Dec 10, 2019",8:00p,Atlanta Hawks,Miami Heat
"Tue, Dec 10, 2019",10:00p,New York Knicks,Portland Trail Blazers
